기사 링크,기사 제목,이미지 URL,기사 요약,언론사,게시 시간
https://n.news.naver.com/mnews/article/648/0000032614,"[인사이드 스토리]'얼죽신'인데 서울 미분양? ""가격이…""",https://mimgnews.pstatic.net/image/origin/648/2025/01/19/32614.jpg?type=nf220_150,"'얼죽신(얼어 죽어도 신축)', '서울 청약 불패'라는 말이 한풀 꺾이는 모양새입니다. 지난해 서울 지역 청약은 수백 대 1의 경쟁률을 보였지만요. 부동산 경기 침체, 정국 불안으로 매수 관망세가 짙어지면서 당첨자들",비즈워치,53분전
https://n.news.naver.com/mnews/article/215/0001195763,증시 분위기 180도 달라졌다…한달새 1조원 '급증',https://mimgnews.pstatic.net/image/origin/215/2025/01/19/1195763.jpg?type=nf220_150,"국내 증시가 새해들어 강세를 보이자 빚을 내 투자하는, 이른바 '빚투' 규모가 빠른 속도로 늘고 있다. 최근 한달사이 1조원 넘게 늘어났는데, 트럼프수혜주·로봇 등 테마성 종목에 대거 몰리면서 우려감 역시도 적지 않",한국경제TV,1시간전
https://n.news.naver.com/mnews/article/009/0005431217,‘다산난사 증시’ 널널한 퇴출 기준 한몫…2015년 이후 시총·매출 미달 상폐 0건,https://mimgnews.pstatic.net/image/origin/009/2025/01/19/5431217.jpg?type=nf220_150,2010년부터 집계해도 5건에 불과 ‘고의 상폐’ 의혹 기업 등 문제기업 상장폐지 사유인 매출·시가총액 미달 기준이 턱없이 낮아 최근 9년간 관련해 퇴출된 사례가 없었던 것으로 나타났다. 사실상 허울뿐인 기준으로 전,매일경제,1시간전
https://n.news.naver.com/mnews/article/029/0002930437,"""5년간 거래 한 건인데""… 가상자산사업자 갱신심사 기준 논란",https://mimgnews.pstatic.net/image/origin/029/2025/01/19/2930437.jpg?type=nf220_150,"29개 사업자중 프라뱅만 승인 거래량·시스템 등 기준 모호 금융위원회가 최근 5년여간 거래가 한 건에 불과한 코인거래소에 대한 가상자산취급업자 라이센스(바스프)를 갱신해주면서 과정에서, 관련 기준을 두고 논란이 일고",디지털타임스,1시간전
https://n.news.naver.com/mnews/article/014/0005297665,"""장기불황 리밸런싱 위한 사모펀드 역할 중요해질 것""[M&A 리더에게 듣는다④]",https://mimgnews.pstatic.net/image/origin/014/2025/01/19/5297665.jpg?type=nf220_150,“사모펀드(PEF)가 장기불황으로 어려움을 겪고 있는 중화학 업계에 다양한 해법을 제시할 수 있을 것으로 기대합니다” 길기완 딜로이트 안진회계법인 경영자문 부문대표(사진)는 장기침체 업종은 자금과 기획 역량을 갖춘,파이낸셜뉴스,1시간전
https://n.news.naver.com/mnews/article/015/0005084013,'꼴찌 탈출' K증시 반전 드라마에도…개미들 '초긴장' [최만수의 스톡네비게이션],https://mimgnews.pstatic.net/image/origin/015/2025/01/19/5084013.jpg?type=nf220_150,지난해 세계에서 수익률 꼴찌였던 한국 증시가 새해 초반 반전 드라마를 쓰고 있다. 일본 중국 등 주변국 증시가 주춤한 가운데 나홀로 상승세를 이어가는 중이다. 밸류에이션(실적 대비 주가수준)이 ‘역대급 저평가’ 수준,한국경제,1시간전
https://n.news.naver.com/mnews/article/366/0001048269,"정치 불안 해소 기대?… 국가 신인도 지표 CDS 프리미엄, 하락세 전환",https://mimgnews.pstatic.net/image/origin/366/2025/01/19/1048269.jpg?type=nf220_150,한국의 신용부도스와프(CDS) 프리미엄이 최근 하락세로 돌아섰다. CDS 프리미엄은 채권을 발행한 국가의 대외 신인도를 보여주는 지표다. 최근 국내 정치적 불확실성이 지속되면서 상승 곡선을 그려왔다. 19일 금융정보,조선비즈,1시간전
https://n.news.naver.com/mnews/article/243/0000071518,"금감원, 공매도 전산화 시스템 3월 완료…무차입 공매도 방지 박차",https://mimgnews.pstatic.net/image/origin/243/2025/01/19/71518.jpg?type=nf220_150,금융당국이 오는 3월 말 공매도 재개를 앞두고 규제 체계를 명확히 하는 '통합 가이드라인 최종안'을 마련했다고 19일 밝혔다. 가이드라인에 따르면 무차입 공매도 발생 가능성에 대비해 법인별 내부통제 기준을 차등화하기,이코노미스트,1시간전
https://n.news.naver.com/mnews/article/421/0008030807,"비트코인, 트럼프 취임 다가오자 또 사상 최고가(종합)",https://mimgnews.pstatic.net/image/origin/421/2025/01/19/8030807.jpg?type=nf220_150,가상자산(암호화폐) 비트코인이 도널드 트럼프 미국 대통령 취임을 앞두고 19일 국내 거래소에서 33일 만에 사상 최고가를 또다시 경신했다. 업비트에 따르면 비트코인 가격은 이날 오후 2시52분경 1억 5720만원대를,뉴스1,1시간전
https://n.news.naver.com/mnews/article/008/0005143126,"""상승 모멘텀 풍부"" 증권가에서 꼽은 새해 유망주 '세 종목'",https://mimgnews.pstatic.net/image/origin/008/2025/01/19/5143126.jpg?type=nf220_150,"머니투데이 증권부가 선정한 1월 셋째 주 주간 베스트리포트는 3건입니다. 김규연 미래에셋증권 연구원이 에스엠에 대해 분석한 '중국 밸류에이션의 최강자', 김성호 하나증권 연구원이 엠로를 분석한 '달라진 실적의 원인,",머니투데이,1시간전
https://n.news.naver.com/mnews/article/008/0005143123,롯데백화점 설 선물 매출 '이것' 때문에 2배 뛰었다,https://mimgnews.pstatic.net/image/origin/008/2025/01/19/5143123.jpg?type=nf220_150,롯데백화점이 '디저트 설 선물'이 인기를 끌면서 매출 성장세가 지난해 설 명절 때보다 2배에 이른다고 19일 밝혔다. 앞서 롯데백화점은 디저트가 식문화 중심으로 자리 잡는 추세를 설 선물에 반영했다. 전 세계 디저트,머니투데이,2시간전
https://n.news.naver.com/mnews/article/018/0005927871,‘해외형 TR ETF’ 금지령에 난감해진 삼성운용…업계 선두 뒤바뀌나,https://mimgnews.pstatic.net/image/origin/018/2025/01/19/5927871.jpg?type=nf220_150,오는 7월부터 해외주식형 토탈리턴(TR) 상장지수펀드(ETF)의 운용에 제동이 걸리며 자산운용업계에 미칠 여파에 관심이 쏠리고 있다. ETF 시장 점유율 1위인 삼성자산운용이 힘을 쏟아왔던 TR형 상품에서 투자자 이,이데일리,2시간전
